S.No,Showroom,RSM,ASM,Manager,"CUG No",Landline,E-Mail,Region,State,Address
44,"KA-HUBLI-CLUB ROAD","Saravanan T","Venkatesh G","Subbaya P",9840594855,,Hubliclubroad@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"Kundgol Complex, Shop nos.101 to 103, Upper ground floor, CTS no.171 F+G+H/1A of CTS Ward no.III situated @ Court Circle, Club Road, Hubli-580029
"
45,"KA-HUBLI-KOPPIKAR ROAD","Saravanan T","Venkatesh G","Ravichandran S",9840623855,,Hublikoppikarroad@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"Shop No.4,5 & 6, Municipal No.3006/4, CTS No.2922/2B, Koppikar Road, Hubli-580020
"
46,"KA-HUBLI-STATION ROAD","Saravanan T","Venkatesh G","Sharavana S",9840471855,,Hublistationroad@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"No.GF-1, Swarnaa City Centre, Station Road, Hubli-580020
"
47,"KA-HUBLI-VIDYA NAGAR","Saravanan T",,"Dinesh S","6385164855 ",,hublividyanagar@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"SKD Heights"", Shop No.11A, Vidya Nagar, Hubli-580031"
48,"KA-INDIRA NAGAR-100FT ROAD-HIFI","Saravanan T","Sankarguru V","Ravi Kumar V",8861582855,080-41260505,hifiindiranagar@poorvika.com,BANGALORE,KARNATAKA,"No: 1133, 100Ft Road,
Hal 2nd Stage,
Indira Nagar,
Bangalore -560008
"
49,"KA-INDIRA NAGAR-CMH ROAD","Saravanan T","Sankarguru V","Vinod Kumar M S",8884128855,080-41690809,indiranagar@poorvika.com,BANGALORE,KARNATAKA,"No: 545, Sree Poojyaya Mansion, CMH Road, Indira Nagar, Binnamangala 1st Stage, (OPP: Motherhood Hospital) Bangalore - 560 038"
50,KA-JALAHALLI,"Saravanan T","Prabakaran G","Srinivasan P",9663522855,080-41160277,jalahalli@poorvika.com,BANGALORE,KARNATAKA,"No: 5&6, 
S.M Road,
Ayyappa Temple Road.
Jalahalli Cross, 
T.Dasarahalli,
Bangalore -560 057
"
51,"KA-JAYA NAGAR-9TH BLOCK","Saravanan T","Saravanaraj R","Venkat Raman K",9902145855,080-41131547,2jayanagar@poorvika.com,BANGALORE,KARNATAKA,"Old No: 1857, New No: 13,
25Th Main Road,
9Th Block,
Jaya Nagar,
Opp: Central Mall Bus Stand,
Bangalore -560 069
"
52,"KA-JAYA NAGAR-ASHA ARCADE","Saravanan T","Saravanaraj R","Siva P",8884808855,080-41690800,jayanagar@poorvika.com,BANGALORE,KARNATAKA,"Ashok Arcade, No: 27/249, 9th Main Road, 3rd Block, Jaya Nagar, (Near: UCO BANK) Bangalore - 560 011"
53,"KA-JP NAGAR","Saravanan T","Yuvaraj J","Sakthi Murugan D",8197847855,080-41137575,jpnagarbglr@poorvika.com,BANGALORE,KARNATAKA,"NO: 14,WILSON GARDEN SOCIETY LAYOUT,KOTHNUR MAIN ROAD,JP NAGAR, 7TH phase,
BANGALORE -560 078
"
54,"KA-JP NAGAR 6TH PHASE","Saravanan T","Balaji P","Not Decide",9840368855,,jpnagar2@poorvika.com,BANGALORE,KARNATAKA,"Site Nos.13,14,15, Katha No.71, 100 Feet Ring Road, 15th Cross, Landmark Sarakki Signal, JP Nagar 6th Phase, Bangalore â€“ 560078"
55,KA-KAMAKSHIPALYA,"Saravanan T","Prabakaran G","Manjunath A",9902563855,080-23487855,kamakshipalyabglr@poorvika.com,BANGALORE,KARNATAKA,"OLD NO: 22, NEW NO: 28,
MEGADI MAIN ROAD,
SLN COMPLEX,
NEAR: TIRUMALA HOSPITAL,
KAMAKSHI PALAYA -560 079"
56,KA-KAMMANAHALLI,"Saravanan T","Prabhakaran D","Punniamurthi S",8884658855,080-41250505,kamanahalli@poorvika.com,BANGALORE,KARNATAKA,"NO: 2393/2, ROOPA COMPLEX,
KAMMANAHALLI MAIN ROAD,
BANGALORE -560 084.

"
57,KA-KANAKAPURA,"Saravanan T","Not Decide","Not Decide",7358397855,-,kanakapura@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"HMS Complex, Khata,No.1675/1128, 1129, 1130, Ward No.5, Near KNS Circle,West of MG Road,Kanakapura Town,Ramanagara District - 562117"
58,KA-KENGERI,"Saravanan T","Prabakaran G","Mohammed Farhan",7338967855,,kengeri@poorvika.com,BANGALORE,KARNATAKA,"""Devatha Plaza"", PID No.1723/197, No.1723, 1st Main Road, 10th Cross, Kengeri Satellite Town, Bangalore-560060
"
59,KA-KOLAR,"Saravanan T","Prabhakaran D","Samuel Y",7338880855,"08152 - 401855",kolar@poorvika.com,BANGALORE,KARNATAKA,"No,10,Opp to KSRTC Bus Stand,
MB Road, Kolar - 563101
"
60,KA-KOPPAL,"Saravanan T","Venkatesh G","Margesh R",09003162855,,koppal@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"Plot no.5, Municipal New No.9-7-680/1362, Old no.7-7-714/720, No.25, PID No.25-6-4-105, Hosapet Road, Koppal-583231
"
61,KA-KORAMANGALA,"Saravanan T","Yuvaraj J","Tamilarasan P",9840170855,,koramangala@poorvika.com,BANGALORE,KARNATAKA,"PID No.67-3-114, Industrial Layout, 
Koramangala, 
Bangalore-560034."
62,"KA-KR PURAM","Saravanan T","Prabhakaran D","Arun Susairaj A",8884608855,080-25618855,krpuram@poorvika.com,BANGALORE,KARNATAKA,"No: 4&5, Old Madras Road,  (Near: Syndicate Bank)
KR Puram, 
Bangalore - 560036"
63,"KA-KUSHAL NAGAR","Not Decide","Not Decide","Not Decide",,,NA,"REST OF KARNATAKA",KARNATAKA,"No. 122, PID No 5-4-8, Municipal Nos 1-175, Primary Agriculture Credit Co-Operative Society, BM Road, Somwarpet Tk, Kodagu Dt, Kushal Nagar, Karnataka â€“ 571 234"
64,KA-MADIKERI,"Saravanan T","Prabhakaran D","Mohammed Azeem M",9840447855,,madikeri@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"Anushree Complex, Survey No.36 & 36/1, Old SBI Building, College Road, Madikeri-571201
"
65,KA-MADIWALA,"Saravanan T","Yuvaraj J","Nagaraja B C",8884358855,080-41690807,madiwala@poorvika.com,BANGALORE,KARNATAKA,"No: 3/4, Maruthi Tower, Hosur Main Road, Madiwala, (OPP: Iyappan Temple) Bangalore - 560 068"
66,"KA-MAHALAKSHMI LAYOUT","Saravanan T","Prabakaran G","Kavya M G",9741828855,080-23198855,mahalakshmilayout@poorvika.com,BANGALORE,KARNATAKA,"No.38/5, 12th cross Road,
Mahalakshmi Layout, 
Bangalore-560086
"
67,KA-MALL-ELEMENTS,"Saravanan T","Venkatesh G","Senthil K",7358222855,"080 - 46514033",elementsmall@poorvika.com,BANGALORE,KARNATAKA,"MSR - Regaliaa Elements, 
No.132/1A, 132/1B, 133/2, 133/1, 134/1, 
Third floor, Unit No.TF-1A & 2, 
Nagvara Village, 
Thanisandra Main Road, 
Kasabahobli, 
Bangalore North Taluka, 
Bangalore-560077
"
68,KA-MALL-GARUDA,"Saravanan T","Not Decide","Not Decide",6385167855,,Garudamall@poorvika.com,BANGALORE,KARNATAKA,"CTS No.15, 17, 18, 27, Ward No.76, Second floor, Magarath Road, Bangalore Mahanagara Palike, Bangalore â€“ 560 025"
69,"KA-MALL-GOPALAN ARCADE","Saravanan T","Prabakaran G","Kavya M G",9629416855,"080 - 28603717",gopalanarcademall@poorvika.com,BANGALORE,KARNATAKA,"BBMP No.447/18/2, Ground floor, Shop no.G-10, 1st Block, Panthara Palya, Raja Rajeswari Nagar, Mysore Road, 
Bengaluru-560098."
70,"KA-MALL-GOPALAN INNOVATION","Saravanan T","Yuvaraj J","Mohan Rao E",7397712855,"080 - 43716855",gopalaninnovationmall@poorvika.com,BANGALORE,KARNATAKA,"No.22, Ground floor, 
Shop No.G4, JP Nagar 3rd phase, Bannerghatta Road, 
Bengaluru -560076.
"
71,"KA-MALL-GOPALAN SIGNATURE","Saravanan T","Sankarguru V","Sandeep C",7358069855,"080 - 67142258",gopalansignaturemall@poorvika.com,BANGALORE,KARNATAKA,"No.6, Second floor,
Shop no.SF4, Old Madras Road, Nagavarapalya,
C.V.Raman Nagar,
Bengaluru-560038
"
72,KA-MALL-INORBIT,"Saravanan T","Prabhakaran D","Arun Kumar B",7358396855,,inorbitmall@poorvika.com,BANGALORE,KARNATAKA,"Inorbit Whitefield Mall, unit no.G1-22, Ground floor, Plot no.75,76,85,to 87, CA plot and plot no.88-part of EPIP induustrial Area, Survey No.97,98,149,150 and 151, Hoodi Village, K.R.Puram Hobli, Bengaluru East Taluk, Bengaluru-560066
"
73,"KA-MALL-KEMP FORT","Saravanan T","Sankarguru V","Karthigeyan S",7338882855,"080 - 43709331",kempmall@poorvika.com,BANGALORE,KARNATAKA,"Kids Kemp / Kempfort, No.97, Ground floor, Unit no.GF-16, 
Old Airport Road,
Murugeshpalya, 
Bangalore-560017.
"
74,"KA-MALL-MANGALORE CITY CENTRE","Saravanan T","Sriram R","Vinod K D",7358066855,,citycentremall@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"City Centre Mall, Unit no.FF-14 B2, First floor, K.S.Rao Road, Hampanakatta, Mangalore â€“ 575001.
"
75,"KA-MALL-MANGALORE FORUM FIZA","Saravanan T","Sriram R","Syed Waseem",8884838855,0824-2498105,mangaloremall@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"The Forum Fiza Mall.
Prestige Mangalore Retail Venture pvt ltd
Shop no:GF-09
Pandeshwar Rd.
Mangalore - 575001
"
76,"KA-MALL-MANTRI SQUARE","Saravanan T","Venkatesh G","Madhan K",7358398855,,mantrisquaremall@poorvika.com,BANGALORE,KARNATAKA,"Mantri Square, No.1, Unit no.S43, Second Floor, Sampige Road, Malleswaram, Bangalore-560003.
"
77,"KA-MALL-ORION EAST","Saravanan T","Prabhakaran D",,9629614855,,orioneastmall@poorvika.com,BANGALORE,KARNATAKA,"Orion East Mall, No.10/34, Second floor, Unit no.218, Banaswadi Main Road, Banaswadi layout, Maruthi Seva Nagar, Bangalore-560043
"
78,KA-MALL-PHOENIX,"Saravanan T","Prabhakaran D","Mohanraj R",8884168855,080-67266502,Bangalorephoenixmall@poorvika.com,BANGALORE,KARNATAKA,"No: G21, Lower ground floor, Phoenix Market City,
White Field Road,
Mahadevapura, 
Bangalore - 560048"
79,KA-MALL-SHANTHINIKETAN,"Saravanan T","Sriram R","Not Decide",6385165855,,Shanthiniketan@poorvika.com,BANGALORE,KARNATAKA,"Forum Shantiniketan,Unit No.304, Third Floor, ITPL Main Road, Hoodi, Whitefield, Bangalore-560067
"
80,"KA-MALL-SHINE ROYAL MEENAKSHI",,,"Satheesh M",7339533111,,shinemeenakshimall@gmail.com,BANGALORE,KARNATAKA,"Royal Meenakshi Mall, No.424/376/487, Survey No.63, Unit no.F024, First Floor, Hulimavu BBMP, Arakare, Bannarghatta Road, Bangalore- 560076
"
81,KA-MALLESWARAM,"Saravanan T","Venkatesh G","Arulvel C",8105321855,080-41690808,malleswaram@poorvika.com,BANGALORE,KARNATAKA,"No:452, RS Plaza, 2nd Main Road, Malleswaram, (Sampaign Road, Opp: RR Gold)Bangalore - 560 003"
82,KA-MALUR,"Not Decide","Not Decide","Not Decide",,,,"REST OF KARNATAKA",KARNATAKA,
83,KA-MANDYA,"Saravanan T - 0061","Devaraj K - 2319",,7358455855,,mandya@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"No.1161 S.L.V Complex Opp Vishranth Hotel V.V Road Ashok Nagar Mandya-571401"
84,"KA-MANGALORE-BENDORE WELL","Saravanan T","Sriram R","Rajashekar A V",7338835855,"082 - 44118855",bendorewell@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"ESSEL WILCON, No.3, 8,9 & 10, Kankanady,Near : Radha Medical Bendore Well, 
Mangalore-575002.
"
85,"KA-MARATHAHALLI-ASHWATH NAGAR","Saravanan T","Sankarguru V","Sunil Kumar V",9901348855,,marathahalli@poorvika.com,BANGALORE,KARNATAKA,"NO: 6/16,
ASHWATH NAGAR,
VARTHUR MAIN ROAD,
MARTHAHALLI,
BANGALORE â€“ 560 037
"
86,KA-MATHIKERE,"Saravanan T","Venkatesh G","Vishnu S",8884538855,080-41487777,mathikere@poorvika.com,BANGALORE,KARNATAKA,"Door No : 17, 11th Main, H.M.T Main Road, Mathikere Extension, Mathikere, (OPP: Liberty Shop) Bangalore - 560054"
87,KA-MOODALAPALYA,"Saravanan T","Zaheer Ahmed S","Tarun Kumar N",9629740855,,moodalapalya@poorvika.com,BANGALORE,KARNATAKA,"No.1,1/1 st Main Road, Sanjeevini Nagar, Nagarabhavi (Opp Bus Stop) Moodalapalya, Bangalore - 560072
"
88,"KA-MYSORE-NILGIRI ROAD","Saravanan T","Prabhakaran D","Manukumar A S",9384673855,,Mysorenilgiriroad@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"Shop No 5,6,7,8,11 And 12,  No.L-35 , L-36 , L-36/A, L-37 And L-37/A Maharaja Shopping Complex,Bangalore â€“ Nilgiri road,Lashkar Mohalla,Mysore â€“ 570001"
89,"KA-MYSORE-SARASWATHI PURAM","Saravanan T","Sriram R","Rudramuni K G",9790723855,,mysoresaraswathipuram@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"No.846 & 847/A, Saraswathipuram, Thonachikoppal, Chamarajamohalla, Mysore-570008
"
90,"KA-MYSORE-URS ROAD","Saravanan T","Sriram R","Sridhara S",7358706855,"0821 - 4000582",mysore@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"No.4A, 4B & 4C, 
D.Devaraja URS Road, 
Devaraj Mohalla,
Mysore-570001"
91,"KA-MYSORE-URS ROAD 2","Saravanan T","Prabhakaran D","Madhaiyan M",7338971855,,Mysoreursroad2@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"No.136 , Devaraj Urs Road, Land mark: Opp to  Coffee Day, Mysore - 570001"
92,KA-NAGARABHAVI,"Saravanan T","Zaheer Ahmed S","Not Decide",9384004855,,nagarabhavi@poorvika.com,BANGALORE,KARNATAKA,"No.618,Vinayaka Layout, 2nd stage, Nagarabhavi,Bangalore â€“ 560072"
93,KA-NELAMANGALA,"Saravanan T","Not Decide","Not Decide",9790241855,00,Anelamanagala@poorvika.com,BANGALORE,KARNATAKA,"PID No.2-3-42, Municipal Assessment No.3391/2667(New), 3391/A/2667(Old), BH Road, Paramanna Layout,Nelamangala,Bangalore â€“ 562126."
94,KA-NIPPANI,"Saravanan T","Not Decide","Not Decide",9790450855,,nippani@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"Plot No 47, Ashok Nagar,Nippani, Karnataka â€“ 591237"
95,KA-PEENYA,"Saravanan T","Prabakaran G","Rajesh H",7022603855,080-28365855,peenyabglr@poorvika.com,BANGALORE,KARNATAKA,"No: 242/246,
Hegganahalli Main Road,
Peenya 2Nd Stage,
Bangalore -560 091"
96,KA-PUTTUR,,,,,,NA,"REST OF KARNATAKA",KARNATAKA,NA
97,KA-RAICHUR,"Not Decide","Not Decide","Not Decide","75500 26855",,raichur@poorvika.com,BANGALORE,KARNATAKA,"No. 1-10-51,Station Road,Opp: Ranga Mandir GardenRaichur,Karnataka â€“ 584101"
98,"KA-RAJAJINAGAR-1ST BLOCK","Saravanan T","Zaheer Ahmed S","Sasikumar K",8884738855,080-40926868,rajajinagar@poorvika.com,BANGALORE,KARNATAKA,"NO: 706, W.C.R 2ND STAGE,
9TH CROSS, DR.MODI ROAD, BASAVESHWARA NAGAR, 
BANGALORE -560 086.
"
99,"KA-RAJAJINAGAR-6TH BLOCK","Saravanan T","Zaheer Ahmed S","Kirana B K",8884898855,080-41316006,2rajajinagar@poorvika.com,BANGALORE,KARNATAKA,"No : 336/87, 6th Block,
Rajaji Nagar,
Bangalore - 560 010.
"
100,"KA-RAMAMURTHY NAGAR","Saravanan T","Prabhakaran D","Ramesh A",8884038855,080-42201818,ramamurthynagar@poorvika.com,BANGALORE,KARNATAKA,"No: 1721/1, GA Manor, Ramamurthy Nagar Main Road, KR Puram, Hobli, (Near: More Super Market) Bangalore - 560 016"
101,KA-RAMANAGARA,"Saravanan T","Prabakaran G","Mahesh  Kumar H L",9677236855,,ramanagara@poorvika.com,BANGALORE,KARNATAKA,"No.2910/38/76, New No.165/1831/1421A,Old Municipal Kaneshumari Ljoor Extension, Ramanagara-562159
"
102,KA-RANEBENNUR,"Saravanan T","Venkatesh G","Channakesavulu P",9384671855,,Ranebennur@poorvika.com,"REST OF KARNATAKA",KARNATAKA,"N0.796/2, Plot No.4, Municipal Khata No.265/5+6+7+8, P.B.Road, 6th Cross, Rajarajeswari Nagar, Ranebennur,Karnataka-581115
"
103,"KA-RR NAGAR","Saravanan T","Prabakaran G","Murugesan A",7022617855,080-28600455,rrnagarbglr@poorvika.com,BANGALORE,KARNATAKA,"No: 500,Beml 3Rd Stage,Raja Rajeshwari Nagar,
Bangalore -560098
"
104,"KA-RT NAGAR","Saravanan T","Venkatesh G","Karthick M",9972452855,080-41205357,rtnagar@poorvika.com,BANGALORE,KARNATAKA,"NO: 7,
H.M.T LAYOUT,
8TH MAIN VISHWESHWARAIAH NAGAR,
R.T NAGAR,
BANGALORE-560 032.
"
105,"KA-SAHAKARA NAGAR","Saravanan T","Rajiv Gandhi C","Arun A",9108279855,"080 - 48655998",sahakaranagar@poorvika.com,BANGALORE,KARNATAKA,"No,518, F Block, 
60 Feet Road, 
Sahakara Nagar, 
Bangalore - 560092.
"
